MM/DD/YYYY,ID,YEAR,MONTH,DAY,PRCP,SNOW
1906-12-23,CA003020702,1906,12,23,0.0,0.0
1906-12-24,CA003020702,1906,12,24,0.0,0.0
1906-12-25,CA003020702,1906,12,25,76.0,76.0
1906-12-26,CA003020702,1906,12,26,0.0,0.0
1906-12-27,CA003020702,1906,12,27,0.0,0.0
1906-12-28,CA003020702,1906,12,28,0.0,0.0
1906-12-29,CA003020702,1906,12,29,0.0,0.0
1906-12-30,CA003020702,1906,12,30,0.0,0.0
1906-12-31,CA003020702,1906,12,31,38.0,38.0
1907-01-01,CA003020702,1907,01,1,0.0,0.0
1907-01-02,CA003020702,1907,01,2,0.0,0.0
1907-01-03,CA003020702,1907,01,3,0.0,0.0
1907-01-04,CA003020702,1907,01,4,76.0,76.0
1907-01-05,CA003020702,1907,01,5,0.0,0.0
1907-01-06,CA003020702,1907,01,6,0.0,0.0
1907-01-07,CA003020702,1907,01,7,0.0,0.0
1907-01-08,CA003020702,1907,01,8,0.0,0.0
1907-01-09,CA003020702,1907,01,9,0.0,0.0
1907-01-10,CA003020702,1907,01,10,51.0,51.0
1907-01-11,CA003020702,1907,01,11,89.0,89.0
1907-01-12,CA003020702,1907,01,12,0.0,0.0
1907-01-13,CA003020702,1907,01,13,0.0,0.0
1907-01-14,CA003020702,1907,01,14,0.0,0.0
1907-01-15,CA003020702,1907,01,15,0.0,0.0
1907-01-16,CA003020702,1907,01,16,0.0,0.0
1907-01-17,CA003020702,1907,01,17,0.0,0.0
1907-01-18,CA003020702,1907,01,18,0.0,0.0
1907-01-19,CA003020702,1907,01,19,0.0,0.0
1907-01-20,CA003020702,1907,01,20,0.0,0.0
1907-01-21,CA003020702,1907,01,21,127.0,127.0
1907-01-22,CA003020702,1907,01,22,0.0,0.0
1907-01-23,CA003020702,1907,01,23,51.0,51.0
1907-01-24,CA003020702,1907,01,24,0.0,0.0
1907-01-25,CA003020702,1907,01,25,0.0,0.0
1907-01-26,CA003020702,1907,01,26,0.0,0.0
1907-01-27,CA003020702,1907,01,27,0.0,0.0
1907-01-28,CA003020702,1907,01,28,0.0,0.0
1907-01-29,CA003020702,1907,01,29,0.0,0.0
1907-01-30,CA003020702,1907,01,30,0.0,0.0
1907-01-31,CA003020702,1907,01,31,51.0,51.0
1907-02-01,CA003020702,1907,02,1,0.0,0.0
1907-02-02,CA003020702,1907,02,2,0.0,0.0
1907-02-03,CA003020702,1907,02,3,0.0,0.0
1907-02-04,CA003020702,1907,02,4,0.0,0.0
1907-02-05,CA003020702,1907,02,5,0.0,0.0
1907-02-06,CA003020702,1907,02,6,0.0,0.0
1907-02-07,CA003020702,1907,02,7,0.0,0.0
1907-02-08,CA003020702,1907,02,8,0.0,0.0
1907-02-09,CA003020702,1907,02,9,0.0,0.0
1907-02-10,CA003020702,1907,02,10,0.0,0.0
1907-02-11,CA003020702,1907,02,11,0.0,0.0
1907-02-12,CA003020702,1907,02,12,0.0,0.0
1907-02-13,CA003020702,1907,02,13,0.0,0.0
1907-02-14,CA003020702,1907,02,14,0.0,0.0
1907-02-15,CA003020702,1907,02,15,0.0,0.0
1907-02-16,CA003020702,1907,02,16,0.0,0.0
1907-02-17,CA003020702,1907,02,17,0.0,0.0
1907-02-18,CA003020702,1907,02,18,0.0,0.0
1907-02-19,CA003020702,1907,02,19,51.0,51.0
1907-02-20,CA003020702,1907,02,20,102.0,102.0
1907-02-21,CA003020702,1907,02,21,0.0,0.0
1907-02-22,CA003020702,1907,02,22,0.0,0.0
1907-02-23,CA003020702,1907,02,23,0.0,0.0
1907-02-24,CA003020702,1907,02,24,0.0,0.0
1907-02-25,CA003020702,1907,02,25,0.0,0.0
1907-02-26,CA003020702,1907,02,26,0.0,0.0
1907-02-27,CA003020702,1907,02,27,0.0,0.0
1907-02-28,CA003020702,1907,02,28,0.0,0.0
1907-03-01,CA003020702,1907,03,1,0.0,0.0
1907-03-02,CA003020702,1907,03,2,0.0,0.0
1907-03-03,CA003020702,1907,03,3,0.0,0.0
1907-03-04,CA003020702,1907,03,4,0.0,0.0
1907-03-05,CA003020702,1907,03,5,0.0,0.0
1907-03-06,CA003020702,1907,03,6,0.0,0.0
1907-03-07,CA003020702,1907,03,7,0.0,0.0
1907-03-08,CA003020702,1907,03,8,0.0,0.0
1907-03-09,CA003020702,1907,03,9,0.0,0.0
1907-03-10,CA003020702,1907,03,10,13.0,13.0
1907-03-11,CA003020702,1907,03,11,0.0,0.0
1907-03-12,CA003020702,1907,03,12,0.0,0.0
1907-03-13,CA003020702,1907,03,13,0.0,0.0
1907-03-14,CA003020702,1907,03,14,0.0,0.0
1907-03-15,CA003020702,1907,03,15,89.0,89.0
1907-03-16,CA003020702,1907,03,16,0.0,0.0
1907-03-17,CA003020702,1907,03,17,0.0,0.0
1907-03-18,CA003020702,1907,03,18,38.0,38.0
1907-03-19,CA003020702,1907,03,19,0.0,0.0
1907-03-20,CA003020702,1907,03,20,0.0,0.0
1907-03-21,CA003020702,1907,03,21,0.0,0.0
1907-03-22,CA003020702,1907,03,22,0.0,0.0
1907-03-23,CA003020702,1907,03,23,0.0,0.0
1907-03-24,CA003020702,1907,03,24,0.0,0.0
1907-03-25,CA003020702,1907,03,25,0.0,0.0
1907-03-26,CA003020702,1907,03,26,0.0,0.0
1907-03-27,CA003020702,1907,03,27,0.0,0.0
1907-03-28,CA003020702,1907,03,28,0.0,0.0
1907-03-29,CA003020702,1907,03,29,0.0,0.0
1907-03-30,CA003020702,1907,03,30,0.0,0.0
1907-03-31,CA003020702,1907,03,31,0.0,0.0
1907-04-01,CA003020702,1907,04,1,0.0,0.0
1907-04-02,CA003020702,1907,04,2,20.0,20.0
1907-04-03,CA003020702,1907,04,3,0.0,0.0
1907-04-04,CA003020702,1907,04,4,0.0,0.0
1907-04-05,CA003020702,1907,04,5,0.0,0.0
1907-04-06,CA003020702,1907,04,6,0.0,0.0
1907-04-07,CA003020702,1907,04,7,0.0,0.0
1907-04-08,CA003020702,1907,04,8,0.0,0.0
1907-04-09,CA003020702,1907,04,9,0.0,0.0
1907-04-10,CA003020702,1907,04,10,0.0,0.0
1907-04-11,CA003020702,1907,04,11,0.0,0.0
1907-04-12,CA003020702,1907,04,12,0.0,0.0
1907-04-13,CA003020702,1907,04,13,0.0,0.0
1907-04-14,CA003020702,1907,04,14,0.0,0.0
1907-04-15,CA003020702,1907,04,15,0.0,0.0
1907-04-16,CA003020702,1907,04,16,0.0,0.0
1907-04-17,CA003020702,1907,04,17,0.0,0.0
1907-04-18,CA003020702,1907,04,18,0.0,0.0
1907-04-19,CA003020702,1907,04,19,0.0,0.0
1907-04-20,CA003020702,1907,04,20,0.0,0.0
1907-04-21,CA003020702,1907,04,21,0.0,0.0
1907-04-22,CA003020702,1907,04,22,0.0,0.0
1907-04-23,CA003020702,1907,04,23,0.0,0.0
1907-04-24,CA003020702,1907,04,24,0.0,0.0
1907-04-25,CA003020702,1907,04,25,0.0,0.0
1907-04-26,CA003020702,1907,04,26,0.0,0.0
1907-04-27,CA003020702,1907,04,27,0.0,0.0
1907-04-28,CA003020702,1907,04,28,0.0,0.0
1907-04-29,CA003020702,1907,04,29,0.0,0.0
1907-04-30,CA003020702,1907,04,30,0.0,0.0
1907-05-01,CA003020702,1907,05,1,0.0,0.0
1907-05-02,CA003020702,1907,05,2,0.0,0.0
1907-05-03,CA003020702,1907,05,3,0.0,0.0
1907-05-04,CA003020702,1907,05,4,0.0,0.0
1907-05-05,CA003020702,1907,05,5,0.0,0.0
1907-05-06,CA003020702,1907,05,6,0.0,0.0
1907-05-07,CA003020702,1907,05,7,0.0,0.0
1907-05-08,CA003020702,1907,05,8,25.0,25.0
1907-05-09,CA003020702,1907,05,9,33.0,33.0
1907-05-10,CA003020702,1907,05,10,0.0,0.0
1907-05-11,CA003020702,1907,05,11,0.0,0.0
1907-05-12,CA003020702,1907,05,12,0.0,0.0
1907-05-13,CA003020702,1907,05,13,0.0,0.0
1907-05-14,CA003020702,1907,05,14,0.0,0.0
1907-05-15,CA003020702,1907,05,15,0.0,0.0
1907-05-16,CA003020702,1907,05,16,0.0,0.0
1907-05-17,CA003020702,1907,05,17,0.0,0.0
1907-05-18,CA003020702,1907,05,18,0.0,0.0
1907-05-19,CA003020702,1907,05,19,0.0,0.0
1907-05-20,CA003020702,1907,05,20,81.0,0.0
1907-05-21,CA003020702,1907,05,21,38.0,0.0
1907-05-22,CA003020702,1907,05,22,0.0,0.0
1907-05-23,CA003020702,1907,05,23,0.0,0.0
1907-05-24,CA003020702,1907,05,24,0.0,0.0
1907-05-25,CA003020702,1907,05,25,0.0,0.0
1907-05-26,CA003020702,1907,05,26,0.0,0.0
1907-05-27,CA003020702,1907,05,27,0.0,0.0
1907-05-28,CA003020702,1907,05,28,0.0,0.0
1907-05-29,CA003020702,1907,05,29,0.0,0.0
1907-05-30,CA003020702,1907,05,30,43.0,0.0
1907-05-31,CA003020702,1907,05,31,0.0,0.0
1907-06-01,CA003020702,1907,06,1,15.0,0.0
1907-06-02,CA003020702,1907,06,2,25.0,0.0
1907-06-03,CA003020702,1907,06,3,43.0,0.0
1907-06-04,CA003020702,1907,06,4,0.0,0.0
1907-06-05,CA003020702,1907,06,5,43.0,0.0
1907-06-06,CA003020702,1907,06,6,0.0,0.0
1907-06-07,CA003020702,1907,06,7,0.0,0.0
1907-06-08,CA003020702,1907,06,8,193.0,0.0
1907-06-09,CA003020702,1907,06,9,0.0,0.0
1907-06-10,CA003020702,1907,06,10,0.0,0.0
1907-06-11,CA003020702,1907,06,11,0.0,0.0
1907-06-12,CA003020702,1907,06,12,43.0,0.0
1907-06-13,CA003020702,1907,06,13,170.0,0.0
1907-06-14,CA003020702,1907,06,14,0.0,0.0
1907-06-15,CA003020702,1907,06,15,0.0,0.0
1907-06-16,CA003020702,1907,06,16,18.0,0.0
1907-06-17,CA003020702,1907,06,17,0.0,0.0
1907-06-18,CA003020702,1907,06,18,18.0,0.0
1907-06-19,CA003020702,1907,06,19,0.0,0.0
1907-06-20,CA003020702,1907,06,20,135.0,0.0
1907-06-21,CA003020702,1907,06,21,0.0,0.0
1907-06-22,CA003020702,1907,06,22,0.0,0.0
1907-06-23,CA003020702,1907,06,23,0.0,0.0
1907-06-24,CA003020702,1907,06,24,0.0,0.0
1907-06-25,CA003020702,1907,06,25,0.0,0.0
1907-06-26,CA003020702,1907,06,26,46.0,0.0
1907-06-27,CA003020702,1907,06,27,79.0,0.0
1907-06-28,CA003020702,1907,06,28,64.0,0.0
1907-06-29,CA003020702,1907,06,29,333.0,0.0
1907-06-30,CA003020702,1907,06,30,38.0,0.0
1907-07-01,CA003020702,1907,07,1,0.0,0.0
1907-07-02,CA003020702,1907,07,2,0.0,0.0
1907-07-03,CA003020702,1907,07,3,0.0,0.0
1907-07-04,CA003020702,1907,07,4,0.0,0.0
1907-07-05,CA003020702,1907,07,5,0.0,0.0
1907-07-06,CA003020702,1907,07,6,38.0,0.0
1907-07-07,CA003020702,1907,07,7,0.0,0.0
1907-07-08,CA003020702,1907,07,8,0.0,0.0
1907-07-09,CA003020702,1907,07,9,0.0,0.0
1907-07-10,CA003020702,1907,07,10,0.0,0.0
1907-07-11,CA003020702,1907,07,11,122.0,0.0
1907-07-12,CA003020702,1907,07,12,0.0,0.0
1907-07-13,CA003020702,1907,07,13,23.0,0.0
1907-07-14,CA003020702,1907,07,14,71.0,0.0
1907-07-15,CA003020702,1907,07,15,51.0,0.0
1907-07-16,CA003020702,1907,07,16,0.0,0.0
1907-07-17,CA003020702,1907,07,17,109.0,0.0
1907-07-18,CA003020702,1907,07,18,0.0,0.0
1907-07-19,CA003020702,1907,07,19,0.0,0.0
1907-07-20,CA003020702,1907,07,20,104.0,0.0
1907-07-21,CA003020702,1907,07,21,0.0,0.0
1907-07-22,CA003020702,1907,07,22,74.0,0.0
1907-07-23,CA003020702,1907,07,23,0.0,0.0
1907-07-24,CA003020702,1907,07,24,119.0,0.0
1907-07-25,CA003020702,1907,07,25,0.0,0.0
1907-07-26,CA003020702,1907,07,26,0.0,0.0
1907-07-27,CA003020702,1907,07,27,0.0,0.0
1907-07-28,CA003020702,1907,07,28,0.0,0.0
1907-07-29,CA003020702,1907,07,29,0.0,0.0
1907-07-30,CA003020702,1907,07,30,0.0,0.0
1907-07-31,CA003020702,1907,07,31,0.0,0.0
1907-08-01,CA003020702,1907,08,1,0.0,0.0
1907-08-02,CA003020702,1907,08,2,0.0,0.0
1907-08-03,CA003020702,1907,08,3,0.0,0.0
1907-08-04,CA003020702,1907,08,4,18.0,0.0
1907-08-05,CA003020702,1907,08,5,173.0,0.0
1907-08-06,CA003020702,1907,08,6,0.0,0.0
1907-08-07,CA003020702,1907,08,7,0.0,0.0
1907-08-08,CA003020702,1907,08,8,38.0,0.0
1907-08-09,CA003020702,1907,08,9,0.0,0.0
1907-08-10,CA003020702,1907,08,10,0.0,0.0
1907-08-11,CA003020702,1907,08,11,23.0,0.0
1907-08-12,CA003020702,1907,08,12,15.0,0.0
1907-08-13,CA003020702,1907,08,13,0.0,0.0
1907-08-14,CA003020702,1907,08,14,23.0,0.0
1907-08-15,CA003020702,1907,08,15,33.0,0.0
1907-08-16,CA003020702,1907,08,16,0.0,0.0
1907-08-17,CA003020702,1907,08,17,224.0,0.0
1907-08-18,CA003020702,1907,08,18,112.0,0.0
1907-08-19,CA003020702,1907,08,19,0.0,0.0
1907-08-20,CA003020702,1907,08,20,0.0,0.0
1907-08-21,CA003020702,1907,08,21,0.0,0.0
1907-08-22,CA003020702,1907,08,22,25.0,0.0
1907-08-23,CA003020702,1907,08,23,0.0,0.0
1907-08-24,CA003020702,1907,08,24,0.0,0.0
1907-08-25,CA003020702,1907,08,25,262.0,0.0
1907-08-26,CA003020702,1907,08,26,69.0,0.0
1907-08-27,CA003020702,1907,08,27,0.0,0.0
1907-08-28,CA003020702,1907,08,28,0.0,0.0
1907-08-29,CA003020702,1907,08,29,0.0,0.0
1907-08-30,CA003020702,1907,08,30,0.0,0.0
1907-08-31,CA003020702,1907,08,31,0.0,0.0
1907-09-01,CA003020702,1907,09,1,0.0,0.0
1907-09-02,CA003020702,1907,09,2,0.0,0.0
1907-09-03,CA003020702,1907,09,3,0.0,0.0
1907-09-04,CA003020702,1907,09,4,0.0,0.0
1907-09-05,CA003020702,1907,09,5,0.0,0.0
1907-09-06,CA003020702,1907,09,6,0.0,0.0
1907-09-07,CA003020702,1907,09,7,0.0,0.0
1907-09-08,CA003020702,1907,09,8,0.0,0.0
1907-09-09,CA003020702,1907,09,9,0.0,0.0
1907-09-10,CA003020702,1907,09,10,145.0,0.0
1907-09-11,CA003020702,1907,09,11,114.0,0.0
1907-09-12,CA003020702,1907,09,12,0.0,0.0
1907-09-13,CA003020702,1907,09,13,0.0,0.0
1907-09-14,CA003020702,1907,09,14,41.0,0.0
1907-09-15,CA003020702,1907,09,15,69.0,0.0
1907-09-16,CA003020702,1907,09,16,140.0,51.0
1907-09-17,CA003020702,1907,09,17,142.0,89.0
1907-09-18,CA003020702,1907,09,18,0.0,0.0
1907-09-19,CA003020702,1907,09,19,0.0,0.0
1907-09-20,CA003020702,1907,09,20,0.0,0.0
1907-09-21,CA003020702,1907,09,21,0.0,0.0
1907-09-22,CA003020702,1907,09,22,0.0,0.0
1907-09-23,CA003020702,1907,09,23,0.0,0.0
1907-09-24,CA003020702,1907,09,24,0.0,0.0
1907-09-25,CA003020702,1907,09,25,0.0,0.0
1907-09-26,CA003020702,1907,09,26,0.0,0.0
1907-09-27,CA003020702,1907,09,27,0.0,0.0
1907-09-28,CA003020702,1907,09,28,0.0,0.0
1907-09-29,CA003020702,1907,09,29,0.0,0.0
1907-09-30,CA003020702,1907,09,30,0.0,0.0
1907-11-01,CA003020702,1907,11,1,0.0,0.0
1907-11-02,CA003020702,1907,11,2,0.0,0.0
1907-11-03,CA003020702,1907,11,3,0.0,0.0
1907-11-04,CA003020702,1907,11,4,0.0,0.0
1907-11-05,CA003020702,1907,11,5,0.0,0.0
1907-11-06,CA003020702,1907,11,6,0.0,0.0
1907-11-07,CA003020702,1907,11,7,0.0,0.0
1907-11-08,CA003020702,1907,11,8,0.0,0.0
1907-11-09,CA003020702,1907,11,9,0.0,0.0
1907-11-10,CA003020702,1907,11,10,0.0,0.0
1907-11-11,CA003020702,1907,11,11,0.0,0.0
1907-11-12,CA003020702,1907,11,12,0.0,0.0
1907-11-13,CA003020702,1907,11,13,0.0,0.0
1907-11-14,CA003020702,1907,11,14,0.0,0.0
1907-11-15,CA003020702,1907,11,15,0.0,0.0
1907-11-16,CA003020702,1907,11,16,0.0,0.0
1907-11-17,CA003020702,1907,11,17,0.0,0.0
1907-11-18,CA003020702,1907,11,18,0.0,0.0
1907-11-19,CA003020702,1907,11,19,0.0,0.0
1907-11-20,CA003020702,1907,11,20,0.0,0.0
1907-11-21,CA003020702,1907,11,21,0.0,0.0
1907-11-22,CA003020702,1907,11,22,0.0,0.0
1907-11-23,CA003020702,1907,11,23,0.0,0.0
1907-11-24,CA003020702,1907,11,24,0.0,0.0
1907-11-25,CA003020702,1907,11,25,0.0,0.0
1907-11-26,CA003020702,1907,11,26,0.0,0.0
1907-11-27,CA003020702,1907,11,27,0.0,0.0
1907-11-28,CA003020702,1907,11,28,0.0,0.0
1907-11-29,CA003020702,1907,11,29,0.0,0.0
1907-11-30,CA003020702,1907,11,30,0.0,0.0
1907-12-01,CA003020702,1907,12,1,0.0,0.0
1907-12-02,CA003020702,1907,12,2,0.0,0.0
1907-12-03,CA003020702,1907,12,3,0.0,0.0
1907-12-04,CA003020702,1907,12,4,0.0,0.0
1907-12-05,CA003020702,1907,12,5,0.0,0.0
1907-12-06,CA003020702,1907,12,6,0.0,0.0
1907-12-07,CA003020702,1907,12,7,0.0,0.0
1907-12-08,CA003020702,1907,12,8,15.0,15.0
1907-12-09,CA003020702,1907,12,9,0.0,0.0
1907-12-10,CA003020702,1907,12,10,0.0,0.0
1907-12-11,CA003020702,1907,12,11,0.0,0.0
1907-12-12,CA003020702,1907,12,12,0.0,0.0
1907-12-13,CA003020702,1907,12,13,0.0,0.0
1907-12-14,CA003020702,1907,12,14,56.0,56.0
1907-12-15,CA003020702,1907,12,15,0.0,0.0
1907-12-16,CA003020702,1907,12,16,15.0,15.0
1907-12-17,CA003020702,1907,12,17,0.0,0.0
1907-12-18,CA003020702,1907,12,18,0.0,0.0
1907-12-19,CA003020702,1907,12,19,0.0,0.0
1907-12-20,CA003020702,1907,12,20,0.0,0.0
1907-12-21,CA003020702,1907,12,21,0.0,0.0
1907-12-22,CA003020702,1907,12,22,0.0,0.0
1907-12-23,CA003020702,1907,12,23,0.0,0.0
1907-12-24,CA003020702,1907,12,24,25.0,25.0
1907-12-25,CA003020702,1907,12,25,0.0,0.0
1907-12-26,CA003020702,1907,12,26,89.0,89.0
1907-12-27,CA003020702,1907,12,27,0.0,0.0
1907-12-28,CA003020702,1907,12,28,0.0,0.0
1907-12-29,CA003020702,1907,12,29,0.0,0.0
1907-12-30,CA003020702,1907,12,30,0.0,0.0
1907-12-31,CA003020702,1907,12,31,0.0,0.0
1908-01-01,CA003020702,1908,01,1,0.0,0.0
1908-01-02,CA003020702,1908,01,2,0.0,0.0
1908-01-03,CA003020702,1908,01,3,0.0,0.0
1908-01-04,CA003020702,1908,01,4,0.0,0.0
1908-01-05,CA003020702,1908,01,5,0.0,0.0
1908-01-06,CA003020702,1908,01,6,0.0,0.0
1908-01-07,CA003020702,1908,01,7,0.0,0.0
1908-01-08,CA003020702,1908,01,8,0.0,0.0
1908-01-09,CA003020702,1908,01,9,0.0,0.0
1908-01-10,CA003020702,1908,01,10,0.0,0.0
1908-01-11,CA003020702,1908,01,11,20.0,20.0
1908-01-12,CA003020702,1908,01,12,0.0,0.0
1908-01-13,CA003020702,1908,01,13,0.0,0.0
1908-01-14,CA003020702,1908,01,14,0.0,0.0
1908-01-15,CA003020702,1908,01,15,0.0,0.0
1908-01-16,CA003020702,1908,01,16,0.0,0.0
1908-01-17,CA003020702,1908,01,17,0.0,0.0
1908-01-18,CA003020702,1908,01,18,0.0,0.0
1908-01-19,CA003020702,1908,01,19,0.0,0.0
1908-01-20,CA003020702,1908,01,20,0.0,0.0
1908-01-21,CA003020702,1908,01,21,0.0,0.0
1908-01-22,CA003020702,1908,01,22,0.0,0.0
1908-01-23,CA003020702,1908,01,23,0.0,0.0
1908-01-24,CA003020702,1908,01,24,0.0,0.0
1908-01-25,CA003020702,1908,01,25,0.0,0.0
1908-01-26,CA003020702,1908,01,26,13.0,13.0
1908-01-27,CA003020702,1908,01,27,0.0,0.0
1908-01-28,CA003020702,1908,01,28,0.0,0.0
1908-01-29,CA003020702,1908,01,29,0.0,0.0
1908-01-30,CA003020702,1908,01,30,0.0,0.0
1908-01-31,CA003020702,1908,01,31,0.0,0.0
1908-02-01,CA003020702,1908,02,1,0.0,0.0
1908-02-02,CA003020702,1908,02,2,0.0,0.0
1908-02-03,CA003020702,1908,02,3,0.0,0.0
1908-02-04,CA003020702,1908,02,4,61.0,61.0
1908-02-05,CA003020702,1908,02,5,30.0,30.0
1908-02-06,CA003020702,1908,02,6,25.0,25.0
1908-02-07,CA003020702,1908,02,7,0.0,0.0
1908-02-08,CA003020702,1908,02,8,0.0,0.0
1908-02-09,CA003020702,1908,02,9,0.0,0.0
1908-02-10,CA003020702,1908,02,10,0.0,0.0
1908-02-11,CA003020702,1908,02,11,0.0,0.0
1908-02-12,CA003020702,1908,02,12,0.0,0.0
1908-02-13,CA003020702,1908,02,13,0.0,0.0
1908-02-14,CA003020702,1908,02,14,0.0,0.0
1908-02-15,CA003020702,1908,02,15,0.0,0.0
1908-02-16,CA003020702,1908,02,16,0.0,0.0
1908-02-17,CA003020702,1908,02,17,0.0,0.0
1908-02-18,CA003020702,1908,02,18,0.0,0.0
1908-02-19,CA003020702,1908,02,19,0.0,0.0
1908-02-20,CA003020702,1908,02,20,0.0,0.0
1908-02-21,CA003020702,1908,02,21,0.0,0.0
1908-02-22,CA003020702,1908,02,22,0.0,0.0
1908-02-23,CA003020702,1908,02,23,0.0,0.0
1908-02-24,CA003020702,1908,02,24,0.0,0.0
1908-02-25,CA003020702,1908,02,25,0.0,0.0
1908-02-26,CA003020702,1908,02,26,0.0,0.0
1908-02-27,CA003020702,1908,02,27,0.0,0.0
1908-02-28,CA003020702,1908,02,28,0.0,0.0
1908-02-29,CA003020702,1908,02,29,0.0,0.0
1908-03-01,CA003020702,1908,03,1,0.0,0.0
1908-03-02,CA003020702,1908,03,2,41.0,41.0
1908-03-03,CA003020702,1908,03,3,0.0,0.0
1908-03-04,CA003020702,1908,03,4,0.0,0.0
1908-03-05,CA003020702,1908,03,5,0.0,0.0
1908-03-06,CA003020702,1908,03,6,0.0,0.0
1908-03-07,CA003020702,1908,03,7,0.0,0.0
1908-03-08,CA003020702,1908,03,8,89.0,89.0
1908-03-09,CA003020702,1908,03,9,0.0,0.0
1908-03-10,CA003020702,1908,03,10,0.0,0.0
1908-03-11,CA003020702,1908,03,11,25.0,25.0
1908-03-12,CA003020702,1908,03,12,0.0,0.0
1908-03-13,CA003020702,1908,03,13,0.0,0.0
1908-03-14,CA003020702,1908,03,14,51.0,51.0
1908-03-15,CA003020702,1908,03,15,0.0,0.0
1908-03-16,CA003020702,1908,03,16,0.0,0.0
1908-03-17,CA003020702,1908,03,17,0.0,0.0
1908-03-18,CA003020702,1908,03,18,0.0,0.0
1908-03-19,CA003020702,1908,03,19,0.0,0.0
1908-03-20,CA003020702,1908,03,20,0.0,0.0
1908-03-21,CA003020702,1908,03,21,0.0,0.0
1908-03-22,CA003020702,1908,03,22,0.0,0.0
1908-03-23,CA003020702,1908,03,23,0.0,0.0
1908-03-24,CA003020702,1908,03,24,0.0,0.0
1908-03-25,CA003020702,1908,03,25,221.0,221.0
1908-03-26,CA003020702,1908,03,26,0.0,0.0
1908-03-27,CA003020702,1908,03,27,0.0,0.0
1908-03-28,CA003020702,1908,03,28,0.0,0.0
1908-03-29,CA003020702,1908,03,29,0.0,0.0
1908-03-30,CA003020702,1908,03,30,51.0,51.0
1908-03-31,CA003020702,1908,03,31,0.0,0.0
1908-05-01,CA003020702,1908,05,1,0.0,0.0
1908-05-02,CA003020702,1908,05,2,0.0,0.0
1908-05-03,CA003020702,1908,05,3,0.0,0.0
1908-05-04,CA003020702,1908,05,4,0.0,0.0
1908-05-05,CA003020702,1908,05,5,0.0,0.0
1908-05-06,CA003020702,1908,05,6,0.0,0.0
1908-05-07,CA003020702,1908,05,7,0.0,0.0
1908-05-08,CA003020702,1908,05,8,0.0,0.0
1908-05-09,CA003020702,1908,05,9,8.0,0.0
1908-05-10,CA003020702,1908,05,10,0.0,0.0
1908-05-11,CA003020702,1908,05,11,0.0,0.0
