MM/DD/YYYY,ID,YEAR,MONTH,DAY,WT06,TMIN,SNWD,TOBS,TMAX,MDSF,SNOW,WT11,WT09,DAPR,WT14,WT03,WT05,WT04,PRCP,WT01,MDPR,DASF
1984-07-04,USC00323117,1984,07,4,1.0,111.0,0.0,156.0,283.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,140.0,nan,nan,nan
1984-12-16,USC00323117,1984,12,16,1.0,-39.0,nan,-33.0,50.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan
1984-12-28,USC00323117,1984,12,28,1.0,-139.0,nan,-128.0,-22.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,nan,nan
1985-11-12,USC00323117,1985,11,12,1.0,-67.0,0.0,-28.0,-22.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan
1987-12-06,USC00323117,1987,12,6,1.0,-72.0,0.0,-17.0,-17.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,5.0,1.0,nan,nan
1988-11-16,USC00323117,1988,11,16,1.0,-67.0,51.0,-67.0,-6.0,nan,51.0,nan,nan,nan,nan,nan,nan,nan,38.0,nan,nan,nan
1990-04-28,USC00323117,1990,04,28,1.0,-39.0,51.0,-39.0,-6.0,nan,51.0,nan,nan,nan,nan,nan,nan,1.0,142.0,nan,nan,nan
1991-03-23,USC00323117,1991,03,23,1.0,-6.0,0.0,6.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan,1.0,8.0,nan,nan,nan
1991-11-10,USC00323117,1991,11,10,1.0,-111.0,nan,-106.0,22.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,15.0,1.0,nan,nan
1992-02-17,USC00323117,1992,02,17,1.0,-11.0,nan,6.0,6.0,nan,0.0,nan,nan,nan,nan,nan,nan,1.0,28.0,nan,nan,nan
1992-04-10,USC00323117,1992,04,10,1.0,-17.0,25.0,-11.0,67.0,nan,25.0,nan,nan,nan,nan,1.0,nan,nan,56.0,nan,nan,nan
1992-04-21,USC00323117,1992,04,21,1.0,-50.0,25.0,-50.0,-6.0,nan,25.0,nan,nan,nan,nan,nan,nan,1.0,30.0,1.0,nan,nan
1994-12-30,USC00323117,1994,12,30,1.0,-89.0,nan,-83.0,6.0,nan,0.0,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan
1996-03-28,USC00323117,1996,03,28,1.0,-94.0,nan,-89.0,-28.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan
1997-04-06,USC00323117,1997,04,6,1.0,-117.0,nan,-111.0,6.0,nan,102.0,1.0,nan,nan,nan,nan,nan,1.0,401.0,nan,nan,nan
1997-12-09,USC00323117,1997,12,9,1.0,-50.0,nan,-44.0,-33.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan
1998-01-26,USC00323117,1998,01,26,1.0,-50.0,nan,-50.0,-44.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,1.0,nan,nan
1998-12-05,USC00323117,1998,12,5,1.0,-28.0,0.0,-28.0,33.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,10.0,1.0,nan,nan
2001-03-10,USC00323117,2001,03,10,1.0,-72.0,nan,-17.0,-6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan
2005-11-28,USC00323117,2005,11,28,1.0,-67.0,25.0,-50.0,-22.0,nan,13.0,nan,nan,nan,nan,nan,nan,1.0,140.0,nan,nan,nan
2006-01-02,USC00323117,2006,01,2,1.0,-56.0,203.0,-44.0,-33.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan
2006-01-03,USC00323117,2006,01,3,1.0,-56.0,203.0,-22.0,-17.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan
2006-01-04,USC00323117,2006,01,4,1.0,-83.0,178.0,-67.0,-6.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan
2006-02-01,USC00323117,2006,02,1,1.0,-39.0,102.0,-39.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,51.0,nan,nan,nan
2006-10-11,USC00323117,2006,10,11,1.0,-22.0,0.0,-17.0,106.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,36.0,nan,nan,nan
2010-02-05,USC00323117,2010,02,5,1.0,-100.0,nan,-28.0,-22.0,nan,25.0,nan,nan,nan,nan,nan,nan,nan,38.0,1.0,nan,nan
2010-03-06,USC00323117,2010,03,6,1.0,-78.0,432.0,-22.0,22.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan
2011-12-30,USC00323117,2011,12,30,1.0,-50.0,25.0,6.0,17.0,nan,13.0,nan,nan,nan,nan,nan,nan,nan,41.0,nan,nan,nan
